<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
01/10/18;000000;6605.0000000;6639.3300000;6474.9000000;6572.8300000;6917
02/10/18;000000;6572.8300000;6591.3700000;6452.0000000;6498.4600000;5148
03/10/18;000000;6498.4700000;6507.9500000;6398.9600000;6466.0300000;5895
04/10/18;000000;6466.0300000;6603.0100000;6454.3800000;6547.4500000;5695
05/10/18;000000;6547.4500000;6641.0000000;6511.8800000;6593.9400000;2125
06/10/18;000000;6593.9400000;6594.3900000;6536.0000000;6552.4300000;1176
07/10/18;000000;6552.4200000;6585.0100000;6491.8100000;6570.0000000;2249
08/10/18;000000;6569.9900000;6681.1900000;6545.6300000;6608.0700000;5196
09/10/18;000000;6607.5300000;6612.8600000;6552.5000000;6589.4800000;4379
10/10/18;000000;6589.4800000;6591.3200000;6445.4800000;6524.5600000;5585
11/10/18;000000;6524.5600000;6524.5600000;6033.3400000;6154.6900000;20193
12/10/18;000000;6154.6800000;6235.2000000;6111.9700000;6188.0100000;5268
13/10/18;000000;6188.0100000;6212.0000000;6178.0000000;6196.0000000;3610
14/10/18;000000;6196.0100000;6288.4500000;6151.0000000;6183.4900000;3333
15/10/18;000000;6183.5200000;6810.0000000;6151.5800000;6440.4200000;21003
16/10/18;000000;6440.4300000;6493.1100000;6375.0000000;6457.1100000;9667
17/10/18;000000;6457.1000000;6459.9900000;6411.1900000;6443.7000000;5299
18/10/18;000000;6443.6900000;6489.8300000;6355.0000000;6394.9600000;6994
19/10/18;000000;6394.9600000;6409.6100000;6353.8600000;6382.9900000;3670
20/10/18;000000;6382.9900000;6420.0000000;6369.0000000;6414.0000000;3244
21/10/18;000000;6413.9900000;6452.8700000;6405.5700000;6415.8800000;2339
22/10/18;000000;6415.8700000;6427.6300000;6377.7700000;6407.6500000;3751
23/10/18;000000;6407.6400000;6411.5000000;6360.0000000;6395.1400000;3861
24/10/18;000000;6395.1300000;6471.0000000;6395.1300000;6415.9800000;4980
25/10/18;000000;6415.9700000;6422.0000000;6377.5000000;6395.5800000;3453
26/10/18;000000;6395.5800000;6450.0000000;6383.5400000;6404.8700000;3977
27/10/18;000000;6404.8700000;6421.7600000;6390.0000000;6409.1200000;2191
28/10/18;000000;6409.1100000;6415.0000000;6380.0100000;6403.6200000;1880
29/10/18;000000;6403.6300000;6414.9900000;6211.0000000;6266.0000000;6553
30/10/18;000000;6266.0000000;6289.0000000;6240.5400000;6267.6300000;3834
